xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
fuse-libs-2.9.2-10,  fuse-libs,  2.9.2-10
net-tools-2.0-0.22.20131004git,  net-tools,  2.0-0.22.20131004git
xorg-x11-fonts-ethiopic-7.5-9,  xorg-x11-fonts-ethiopic,  7.5-9
ncurses-base-5.9-14.20130511,  ncurses-base,  5.9-14.20130511
libestr-0.1.9-2,  libestr,  0.1.9-2
xorg-x11-fonts-100dpi-7.5-9,  xorg-x11-fonts-100dpi,  7.5-9
libsepol-2.5-8.1,  libsepol,  2.5-8.1
libnl-1.1.4-3,  libnl,  1.1.4-3
xorg-x11-fonts-ISO8859-2-75dpi-7.5-9,  xorg-x11-fonts-ISO8859-2-75dpi,  7.5-9
libsemanage-2.5-11,  libsemanage,  2.5-11
xorg-x11-fonts-ISO8859-9-75dpi-7.5-9,  xorg-x11-fonts-ISO8859-9-75dpi,  7.5-9
libselinux-utils-2.5-12,  libselinux-utils,  2.5-12
zlib-1.2.7-17,  zlib,  1.2.7-17
xorg-x11-docs-1.6-7,  xorg-x11-docs,  1.6-7
nss-softokn-freebl-3.36.0-5.el7_5,  nss-softokn-freebl,  3.36.0-5.el7_5
desktop-file-utils-0.23-1,  desktop-file-utils,  0.23-1
libjpeg-turbo-1.2.90-5,  libjpeg-turbo,  1.2.90-5
libpwquality-1.2.3-5,  libpwquality,  1.2.3-5
kbd-legacy-1.15.5-13,  kbd-legacy,  1.15.5-13
cairo-1.14.8-2,  cairo,  1.14.8-2
python-2.7.5-69.el7_5,  python,  2.7.5-69.el7_5
bzip2-libs-1.0.6-13,  bzip2-libs,  1.0.6-13
libogg-1.3.0-7,  libogg,  1.3.0-7
python-gobject-base-3.22.0-1.el7_4.1,  python-gobject-base,  3.22.0-1.el7_4.1
gawk-4.0.2-4.el7_3.1,  gawk,  4.0.2-4.el7_3.1
libvorbis-1.3.3-8.el7.1,  libvorbis,  1.3.3-8.el7.1
libuser-0.60-9,  libuser,  0.60-9
libgcrypt-1.5.3-14,  libgcrypt,  1.5.3-14
libxkbcommon-0.7.1-1,  libxkbcommon,  0.7.1-1
python-firewall-0.4.4.4-14,  python-firewall-0,  4.4.4-14
libcap-ng-0.7.5-4,  libcap-ng,  0.7.5-4
librdmacm-15-7.el7_5,  librdmacm-15-7.el7_5, ???
nss-3.36.0-5.el7_5,  nss,  3.36.0-5.el7_5
jansson-2.10-1,  jansson,  2.10-1
libusbx-1.0.21-1,  libusbx,  1.0.21-1
curl-7.29.0-46,  curl,  7.29.0-46
lua-5.1.4-15,  lua,  5.1.4-15
libarchive-3.1.2-10.el7_2,  libarchive,  3.1.2-10.el7_2
rpm-python-4.11.3-32,  rpm-python,  4.11.3-32
man-db-2.6.3-9,  man-db,  2.6.3-9
file-libs-5.11-33,  file-libs,  5.11-33
compat-glibc-headers-2.12-4,  compat-glibc-headers,  2.12-4
util-linux-2.23.2-52,  util-linux,  2.23.2-52
libmnl-1.0.3-7,  libmnl,  1.0.3-7
colord-libs-1.3.4-1,  colord-libs,  1.3.4-1
device-mapper-libs-1.02.146-4,  device-mapper-libs,  1.02.146-4
gcc-4.8.5-28.el7_5.1,  gcc,  4.8.5-28.el7_5.1
systemd-libs-219-57,  systemd-libs-219-57, ???
hunspell-1.3.2-15,  hunspell,  1.3.2-15
initscripts-9.49.41-1,  initscripts,  9.49.41-1
ivtv-firmware-20080701-26,  ivtv-firmware-20080701-26, ???
jbigkit-libs-2.0-11,  jbigkit-libs,  2.0-11
grub2-tools-2.02-0.65.el7_4.2,  grub2-tools,  2.02-0.65.el7_4.2
libnotify-0.7.7-1,  libnotify,  0.7.7-1
dhcp-libs-4.2.5-68.el7_5.1,  dhcp-libs,  4.2.5-68.el7_5.1
newt-0.52.15-4,  newt,  0.52.15-4
libgnat-4.8.5-28.el7_5.1,  libgnat,  4.8.5-28.el7_5.1
selinux-policy-3.13.1-192.el7_5.4,  selinux-policy,  3.13.1-192.el7_5.4
keyutils-libs-1.5.8-3,  keyutils-libs,  1.5.8-3
compat-db-headers-4.7.25-28,  compat-db-headers,  4.7.25-28
